interview__key,num_prod,Productos,Productos_genericos,prom_men,u_prom_men,otra_u_prom_men,perdida_prod,u_perdida_prod,otra_u_perdida_prod,din_perd,causa_perd,comestible,u_comestible,otra_u_comestible,dest_res,otro_dest_res,bancos,u_med_bancos,otra_u_med_bancos,per_ocupado,per_ocupado2
02-07-61-84,1,"Carnes de pollo, res y puerco","Carnes de pollo, res y puerco",2,2,,50,1,,5000,son mermas que la gente quiere que le retiremos de la misma carne como el cuero,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,2,6 a 10 personas
10-05-05-59,1,Galleta,Galleta,2,1,,100,6,Gramos,18,galleta rota,100,6,gramos,9,,#NULL!,#NULL!,,1,0 a 5 personas
10-05-05-59,2,Crema para batir,Crema para batir,5,3,,200,6,mililitros,25,Sobrante de decoración,200,6,mililitros,7,,#NULL!,#NULL!,,1,0 a 5 personas
10-05-05-59,3,Mantequilla,Mantequilla,2,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
10-05-05-59,4,Chocolate,Chocolate,2,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
59-38-14-72,1,Plátano,Plátano,200,1,,10,1,,70,Maduración de la fruta,8,1,,9,,#NULL!,#NULL!,,1,0 a 5 personas
59-38-14-72,2,Manzana,Manzana,100,1,,2,1,,30,maduración de la fruta,2,1,,9,,#NULL!,#NULL!,,1,0 a 5 personas
59-38-14-72,3,Jamaica,Jamaica,25,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
59-38-14-72,4,Limón,Limón,50,1,,2,1,,35,maduración de la fruta,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
45-98-88-68,1,Frijol,Frijol,500,1,,8,1,,120,Tamaño pequeño del grano,8,1,,9,,#NULL!,#NULL!,,1,0 a 5 personas
45-98-88-68,2,Huevo,Huevo,80,1,,4,1,,120,producto en mal estado/roto,4,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
45-98-88-68,3,Almendra,Almendra,50,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
45-98-88-68,4,Nuez,Nuez,50,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
45-98-88-68,5,Garbanzo,Garbanzo,150,1,,5,1,,150,tamaño insuficiente del grano,5,1,,9,,#NULL!,#NULL!,,1,0 a 5 personas
45-98-88-68,6,Alpiste,Alpiste,50,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
00-52-44-33,1,"Manzana, plátano, chiles secos, pepinos, coyote, brócoli, sandia, melón, plátano macho, peras, duraznos, limón, cilantro, cebollas, papas, calabazas, melón, papayas, aguacate, ajos, jitomate, tomate, chile gordo, chile, kiwi y alimento la posta para animales","Manzana, plátano, chiles secos, pepinos, coyote, brócoli, sandia, melón, plátano macho, peras, duraznos, limón, cilantro, cebollas, papas, calabazas, melón, papayas, aguacate, ajos, jitomate, tomate, chile gordo, chile, kiwi y alimento la posta para animales",20000,1,,250,1,,0,Por maduración en frutas y verduras,50,1,,6,,#NULL!,#NULL!,,1,0 a 5 personas
75-80-02-25,1,Combos de comida rápida,Comida preparada,120,6,Combos,8,6,Combos,120,por mal transporte o porque no es el combo que se solicitó,5,6,combos,7,,#NULL!,#NULL!,,3,11 a 30 personas
