interview__key,fecha,hora_acc,cve_entrevistador
37-34-37-26,10/11/2020,19:43:24,E050101
37-34-37-26,10/11/2020,19:43:24,E050101
37-34-37-26,10/11/2020,19:43:24,E050101
37-34-37-26,10/11/2020,19:43:24,E050101
37-34-37-26,10/11/2020,19:43:25,E050101
37-34-37-26,10/11/2020,19:44:25,E050101
37-34-37-26,10/11/2020,19:48:26,E050101
37-34-37-26,10/11/2020,19:59:20,E050101
37-34-37-26,10/11/2020,19:59:20,E050101
37-34-37-26,11/11/2020,03:01:48,E050101
37-34-37-26,11/11/2020,03:01:48,E050101
37-34-37-26,11/11/2020,03:05:45,E050101
37-34-37-26,11/11/2020,03:05:45,E050101
37-34-37-26,14/11/2020,00:54:07,admin
31-99-57-96,10/11/2020,17:31:06,E050101
31-99-57-96,10/11/2020,17:31:06,E050101
31-99-57-96,10/11/2020,17:31:06,E050101
31-99-57-96,10/11/2020,17:31:06,E050101
31-99-57-96,10/11/2020,17:31:08,E050101
31-99-57-96,10/11/2020,17:33:28,E050101
31-99-57-96,10/11/2020,17:33:28,E050101
31-99-57-96,10/11/2020,17:39:50,E050101
31-99-57-96,10/11/2020,17:39:50,E050101
31-99-57-96,10/11/2020,17:42:07,E050101
31-99-57-96,10/11/2020,17:52:33,E050101
31-99-57-96,10/11/2020,17:54:21,E050101
31-99-57-96,10/11/2020,17:54:21,E050101
31-99-57-96,10/11/2020,18:05:23,E050101
31-99-57-96,10/11/2020,18:05:23,E050101
31-99-57-96,10/11/2020,18:17:55,E050101
31-99-57-96,10/11/2020,18:17:55,E050101
31-99-57-96,10/11/2020,18:30:45,E050101
31-99-57-96,10/11/2020,18:30:45,E050101
31-99-57-96,10/11/2020,18:37:47,E050101
31-99-57-96,10/11/2020,18:37:48,E050101
31-99-57-96,10/11/2020,18:38:00,E050101
31-99-57-96,10/11/2020,18:38:00,E050101
31-99-57-96,14/11/2020,00:54:07,admin
48-86-17-85,11/11/2020,17:22:15,E050101
48-86-17-85,11/11/2020,17:22:15,E050101
48-86-17-85,11/11/2020,17:22:15,E050101
48-86-17-85,11/11/2020,17:22:15,E050101
48-86-17-85,11/11/2020,17:22:18,E050101
48-86-17-85,11/11/2020,17:23:22,E050101
48-86-17-85,11/11/2020,17:25:17,E050101
48-86-17-85,11/11/2020,17:26:58,E050101
48-86-17-85,11/11/2020,17:41:15,E050101
48-86-17-85,11/11/2020,17:49:03,E050101
48-86-17-85,11/11/2020,17:49:03,E050101
48-86-17-85,11/11/2020,18:04:03,E050101
48-86-17-85,11/11/2020,18:34:12,E050101
48-86-17-85,11/11/2020,18:44:52,E050101
48-86-17-85,11/11/2020,18:44:52,E050101
48-86-17-85,14/11/2020,00:54:07,admin
21-69-92-61,07/11/2020,20:13:02,E050101
21-69-92-61,07/11/2020,20:13:02,E050101
21-69-92-61,07/11/2020,20:13:02,E050101
21-69-92-61,07/11/2020,20:13:02,E050101
21-69-92-61,07/11/2020,20:13:05,E050101
21-69-92-61,07/11/2020,20:14:44,E050101
21-69-92-61,07/11/2020,20:37:15,E050101
21-69-92-61,07/11/2020,20:52:15,E050101
21-69-92-61,09/11/2020,16:32:57,E050101
21-69-92-61,09/11/2020,16:34:47,E050101
