interview__key,num_prod,pro_c_perdida,cant_per,u_med_per,ha_proceso_perd,otra_u_med_per,cant_mon_per,causa,destino,tipo_prod
37-34-37-26,1,1,15,2,NA,,37500,plagas,"tiro a la basura, consumo animal",Melon
31-99-57-96,1,1,7,3,1,,7000,plaga,coyotaje,Melon
48-86-17-85,1,2,10,2,NA,,30000,proceso muy riguroso de seleccion,reventa,Melon
21-69-92-61,1,5,2,2,NA,,8000,precio bajo,venta a coyotes,Melon
97-99-81-42,1,1,30,2,NA,,30000,plagas,"reventa, animales, regalado",Melon
25-86-07-95,1,2,20,2,NA,,20000,Diferenciacion de sembrado,Consumo Animal,Melon
51-19-67-64,1,1,4,2,NA,,45000,la variedad no fue la edecuada para la zona,Se regalo para animales,Pepino
51-19-67-64,1,2,2,2,NA,,20000,Se pudrio por un mal empaquetado,se tiro,Pepino
47-45-29-99,1,1,6,2,NA,,21000,humedad,"perdida total, chivas, animales",Melon
47-45-29-99,1,2,4,2,NA,,4000,es de segunda se la compra el coyote mas barata a menos de mitad de precio,consumo humano,Melon
42-53-88-38,1,1,15,2,NA,,20000,"porque estaba manchado y cuartiado, humedad","chivas domesticas, animales",Melon
42-53-88-38,1,2,10,2,NA,,5000,"el grande no pasa, el tamaño",revendedores,Melon
59-44-86-05,1,2,100,1,NA,,1800,tamaño pequeño de la semilla,los regalo,Frijol
59-44-86-05,2,2,300,1,NA,,5400,tamaño pequeño,los vendio para alimento animal,Garbanzo
04-18-54-61,1,6,13,2,NA,,49400,falta de lluvia,fue perdida economica,Maiz
04-18-54-61,2,6,20,2,NA,,66000,falta de lluvia,perdida economica,Sorgo
04-18-54-61,3,6,20,2,NA,,380000,defecto de planta,tiro a la basura,Esparrago
04-18-54-61,4,1,500,5,NA,cajas/hectarea,40000,mala calidad del producto,tira a la basura,Lechuga
04-18-54-61,5,1,35,2,NA,,245000,daño por plaga,tiro a la basura,Brocoli
04-18-54-61,6,1,500,5,NA,cajas/hectarea,75000,producto enfermo,tiro a la basura,Apio
04-18-54-61,7,1,9,2,NA,,72000,por plaga de gusano,tiro a la basura,Coliflor
68-55-62-58,1,1,150,2,NA,,250000,La sequia los maices no dieron el potencial esperado y las plagas aumentaron,Se incorporo a la tierra mediante barbechada,Maiz
75-87-47-50,1,5,2,2,NA,,9000,la calidad del garbanzo fue mala,Se regalo a la persona que compro el producto final,Garbanzo
99-55-56-30,1,1,75,2,NA,,3.00E+05,enfermedades y virosis,se tiro,Papaya
99-55-56-30,2,1,20,2,NA,,1.00E+05,enfermedades y mala seleccion de la semilla,se tiro,Tomate
99-55-56-30,3,1,50,2,NA,,40000,poca demanda,se tiro,Elote
50-50-62-56,1,1,30,1,NA,,250,"Ausencia de Agua,plagas",Alimento para animal,Maiz
74-77-62-54,1,1,3,2,NA,,3000,mal manejo,se dono,Caña de azúcar
74-77-62-54,1,4,1000,1,NA,,1500,mal manejo,se dono,Caña de azúcar
74-77-62-54,2,3,50,1,NA,,2000,plagas y mal manejo,se dono,Calabaza pipian
41-48-62-44,1,5,1000,2,NA,,3.00E+06,problemas fitosanitarios y ambientales,"consumo animal, composta y se dono",Papaya
40-42-66-97,1,2,280,2,NA,,2.00E+06,maduracion y hongos,se tiro,Papaya
40-42-66-97,1,5,70,2,NA,,5.00E+05,mal manejo,composta,Papaya
27-89-11-29,1,1,6,3,1.5,,150000,"plagas, no habia mercado",##N/A##,Chile habanero
