interview__key,num_prod,pro_p_perdida,cant_p_per,u_med_p,otra_u_med_p,cant_mon_per_p,causa_p,destino_p
89-78-23-85,1,2,18,4,,400,atoraban en las bombas,tirar
44-13-89-72,1,1,400000,4,,200000,"enfermedad, manejo",enterrar y colocar cal y tierra
44-13-89-72,2,1,20000,4,,3000,"manejo, enfermedad",enterrar y colocar cal y arena
69-67-80-58,1,1,3,5,,5000,Muerte del animal,Se entierran
69-67-80-58,2,6,2,5,,36000,La mala alimentacion,"Depende la causa de la muerte se entierra ,Se vende o se regala"
69-67-80-58,3,4,2,5,,1800,Muerte inesperada,Se vendio una parte y se regalo otra
23-92-41-18,1,2,5,5,,5000,Rapiña de coyote,No se puede recuperar
80-41-28-44,1,1,10,5,,2000,Enfermedades,Tirar a la basura
80-41-28-44,1,3,15,5,,25000,Robo,ND
30-09-45-07,1,1,4,5,,40000,Nacimiento prematuro,Ninguna
91-07-49-75,1,1,5,5,,35000,Nacimiento prematuro,Ninguna
85-74-26-32,1,1,2,5,,16000,Nacimiento prematuro,Ninguna
37-88-95-07,1,1,2,5,,16000,Nacimiento prematuro,Ninguna
27-78-39-26,1,1,1,5,,200,Falta de oxigenacion al nacer,Alimento de animales carroñeros
27-78-39-26,1,2,2,5,,2000,enfermedad,alimento de animales carroñeros
27-78-39-26,1,4,1,5,,1000,Accidente,Regalar
09-04-20-10,1,1,4,5,,12000,muerte por nacimiento prematuro,alimento de animales carroñeros
09-04-20-10,1,2,3,5,,15000,"Extravio, accidente, enfermedad","Se regalo, alimento de animales carroñeros"
09-04-20-10,1,4,2,5,,10000,"Enfermedad, falta de refrigeracion",tirar para alimento de animales carroñeros
42-91-11-67,1,5,8,5,,80000,"enfermedades infecciosas de la la temporada, neumonia y problemas parasitarios",ND
15-86-84-38,1,6,1,6,5 kg,1000,"falta de buen equipo de refrigeracion, falta de infraestructura",autoconsumo y a los cerdos
15-86-84-38,2,3,5,6,20 kg,1000,"falta de personal, falta de refrigeracion e infraestructura",animales
15-86-84-38,3,3,5,6,45 litros,1500,transporte mas especializado y mejor logistica,animales y autoconsumo
17-31-25-13,1,1,20,5,,28000,"mal manejo, falta de capacitacion, enfermedades",se tiran a la labor para que se lo coman los animales silvestres
51-30-77-57,5,1,160,4,,32000,muerte por falta de espacio,fosa
