interview__key,num_prod,tipo_prod,cosecha_anual,u_cosecha_anual,otra_unid_c_anual,consum_humano,consum_animal,porc_humano,porc_animal,mercad_nac_min,mercad_nac_may,mercad_extra,por_nac_min,por_nac_may,por_extra,cosecha_estimada,u_cosecha_estimada,ha_cosecha_estimada,cosecha_final,u_cosecha_final,ha_cosecha_final,pro_c_perdida1,pro_c_perdida2,pro_c_perdida3,pro_c_perdida4,pro_c_perdida5,pro_c_perdida6,otro_pro_c_perdida
37-34-37-26,1,Melón,100,2,,1,0,NA,NA,0,1,0,NA,NA,NA,120,2,NA,100,2,NA,1,0,0,0,0,0,
31-99-57-96,1,Melón,12,2,,1,0,NA,NA,0,1,0,NA,NA,NA,40,2,NA,12,2,NA,1,0,0,0,0,0,
48-86-17-85,1,Melón,30,2,,1,0,NA,NA,0,1,0,NA,NA,NA,40,2,NA,30,2,NA,0,1,0,0,0,0,
21-69-92-61,1,Melón,40,2,,1,0,NA,NA,1,0,0,NA,NA,NA,50,2,NA,40,2,NA,0,0,0,0,1,0,
97-99-81-42,1,Melón,90,4,90 toneladas x 3 hectareas,1,0,NA,NA,0,1,0,NA,NA,NA,120,2,NA,90,2,NA,1,0,0,0,0,0,
25-86-07-95,1,Melón,30,2,,1,0,NA,NA,0,1,0,NA,NA,NA,60,2,NA,30,2,NA,0,1,0,0,0,0,
51-19-67-64,1,Pepino,15,2,,1,0,NA,NA,0,0,1,NA,NA,NA,20,2,NA,12,2,NA,1,1,0,0,0,0,
47-45-29-99,1,Melón,35,2,,1,0,NA,NA,0,1,0,NA,NA,NA,45,2,NA,35,2,NA,1,1,0,0,0,0,
42-53-88-38,1,Melón,35,2,,1,0,NA,NA,0,1,0,NA,NA,NA,40,2,NA,35,3,1,1,1,0,0,0,0,
59-44-86-05,1,Frijol,250,2,,1,0,NA,NA,1,1,0,10,90,NA,300,2,NA,250,2,NA,0,1,0,0,0,0,
59-44-86-05,2,Garbanzo,150,2,,1,0,NA,NA,1,1,0,10,90,NA,180,2,NA,150,2,NA,0,1,0,0,0,0,
04-18-54-61,1,Maíz,14,4,ton/hectarea,1,0,NA,NA,1,0,0,NA,NA,NA,200,2,NA,175,2,NA,0,0,0,0,0,1,manejo del cultivo
04-18-54-61,2,Sorgo,90,2,,1,0,NA,NA,1,0,0,NA,NA,NA,110,2,NA,90,2,NA,0,0,0,0,0,1,en proceso del desarrollo de la planta
04-18-54-61,3,Espárrago,55,2,,1,0,NA,NA,1,0,0,NA,NA,NA,45,2,NA,55,2,NA,0,0,0,0,0,1,desarrollo de la calidad del producto
