interview__key,fecha,hora_acc,cve_entrevistador
02-07-61-84,06/11/2020,20:10:22,E070304
02-07-61-84,06/11/2020,20:10:22,E070304
02-07-61-84,06/11/2020,20:10:22,E070304
02-07-61-84,06/11/2020,20:10:22,E070304
02-07-61-84,06/11/2020,20:10:24,E070304
02-07-61-84,06/11/2020,20:13:31,E070304
02-07-61-84,06/11/2020,20:13:31,E070304
02-07-61-84,06/11/2020,20:19:30,E070304
02-07-61-84,06/11/2020,20:19:30,E070304
02-07-61-84,14/11/2020,00:54:07,admin
10-05-05-59,17/11/2020,18:20:40,E110102
10-05-05-59,17/11/2020,18:20:40,E110102
10-05-05-59,17/11/2020,18:20:40,E110102
10-05-05-59,17/11/2020,18:20:40,E110102
10-05-05-59,17/11/2020,18:20:41,E110102
10-05-05-59,17/11/2020,18:27:17,E110102
10-05-05-59,17/11/2020,18:27:17,E110102
10-05-05-59,17/11/2020,19:42:14,E110102
10-05-05-59,17/11/2020,19:42:14,E110102
10-05-05-59,17/11/2020,19:43:30,E110102
10-05-05-59,17/11/2020,19:43:30,E110102
10-05-05-59,17/11/2020,19:53:29,admin
45-98-88-68,17/11/2020,18:09:06,E110102
45-98-88-68,17/11/2020,18:09:06,E110102
45-98-88-68,17/11/2020,18:09:06,E110102
45-98-88-68,17/11/2020,18:09:06,E110102
45-98-88-68,17/11/2020,18:09:12,E110102
45-98-88-68,17/11/2020,18:10:20,E110102
45-98-88-68,17/11/2020,18:10:20,E110102
45-98-88-68,17/11/2020,18:13:45,E110102
45-98-88-68,17/11/2020,18:13:45,E110102
45-98-88-68,17/11/2020,18:19:32,E110102
45-98-88-68,17/11/2020,18:19:32,E110102
45-98-88-68,17/11/2020,19:34:59,E110102
45-98-88-68,17/11/2020,19:35:01,E110102
45-98-88-68,17/11/2020,19:36:58,E110102
45-98-88-68,17/11/2020,19:36:58,E110102
45-98-88-68,17/11/2020,19:41:51,E110102
45-98-88-68,17/11/2020,19:41:52,E110102
45-98-88-68,17/11/2020,19:42:01,E110102
45-98-88-68,17/11/2020,19:42:01,E110102
45-98-88-68,17/11/2020,22:29:36,admin
59-38-14-72,17/11/2020,18:37:49,E110102
59-38-14-72,17/11/2020,18:37:49,E110102
59-38-14-72,17/11/2020,18:37:49,E110102
59-38-14-72,17/11/2020,18:37:49,E110102
59-38-14-72,17/11/2020,18:37:50,E110102
59-38-14-72,17/11/2020,18:40:27,E110102
59-38-14-72,17/11/2020,18:40:27,E110102
59-38-14-72,17/11/2020,18:42:52,E110102
59-38-14-72,17/11/2020,18:42:56,E110102
59-38-14-72,17/11/2020,18:44:29,E110102
59-38-14-72,17/11/2020,18:46:42,E110102
59-38-14-72,17/11/2020,18:49:22,E110102
59-38-14-72,17/11/2020,18:49:22,E110102
59-38-14-72,17/11/2020,19:38:32,E110102
59-38-14-72,17/11/2020,19:38:33,E110102
59-38-14-72,17/11/2020,19:40:03,E110102
59-38-14-72,17/11/2020,19:40:03,E110102
59-38-14-72,17/11/2020,19:41:28,E110102
59-38-14-72,17/11/2020,19:41:28,E110102
59-38-14-72,17/11/2020,19:41:38,E110102
59-38-14-72,17/11/2020,19:41:38,E110102
59-38-14-72,17/11/2020,22:29:43,admin
54-20-67-43,07/11/2020,17:57:34,E070504
54-20-67-43,07/11/2020,17:57:34,E070504
54-20-67-43,07/11/2020,17:57:34,E070504
54-20-67-43,07/11/2020,17:57:34,E070504
54-20-67-43,07/11/2020,17:57:36,E070504
54-20-67-43,07/11/2020,18:04:58,E070504
54-20-67-43,07/11/2020,18:04:58,E070504
54-20-67-43,07/11/2020,18:21:35,E070504
54-20-67-43,07/11/2020,18:21:35,E070504
54-20-67-43,07/11/2020,18:23:14,E070504
54-20-67-43,07/11/2020,18:23:14,E070504
54-20-67-43,07/11/2020,18:29:56,E070504
54-20-67-43,07/11/2020,18:29:56,E070504
54-20-67-43,14/11/2020,23:27:24,admin
02-85-64-84,16/11/2020,16:34:46,E110101
02-85-64-84,16/11/2020,16:34:46,E110101
02-85-64-84,16/11/2020,16:34:46,E110101
02-85-64-84,16/11/2020,16:34:46,E110101
02-85-64-84,16/11/2020,16:34:48,E110101
02-85-64-84,16/11/2020,16:46:15,E110101
02-85-64-84,16/11/2020,16:46:15,E110101
02-85-64-84,18/11/2020,18:15:09,admin
01-43-03-64,07/11/2020,18:06:42,E070504
01-43-03-64,07/11/2020,18:06:42,E070504
01-43-03-64,07/11/2020,18:06:42,E070504
01-43-03-64,07/11/2020,18:06:42,E070504
01-43-03-64,07/11/2020,18:06:42,E070504
01-43-03-64,07/11/2020,18:08:32,E070504
01-43-03-64,07/11/2020,18:09:08,E070504
01-43-03-64,07/11/2020,18:10:18,E070504
01-43-03-64,07/11/2020,18:10:18,E070504
01-43-03-64,07/11/2020,18:19:06,E070504
01-43-03-64,07/11/2020,18:19:08,E070504
01-43-03-64,07/11/2020,18:19:30,E070504
