interview__key,seccion,variable,num,fecha,hora_ini,cve_entrevistador,comentario
02-85-64-84,,@@Completed,1,16/11/2020,16:46:15,E110101,Primera entrevista con pocos datos sobre desperdicio de alimentos a gran escala.
75-80-02-25,,@@Completed,1,16/11/2020,17:02:26,E110101,"""Entrevista completada """
46-14-89-64,,@@Completed,1,18/11/2020,22:32:47,E140101,"""La persona no conocia sobre las normas  Ni sobre el banco de alimento """
46-14-89-64,,@@Completed,2,18/11/2020,22:51:09,E140101,"""La persona no conocia sobre las normas  Ni sobre el banco de alimento """
75-48-02-01,,@@Completed,1,18/11/2020,23:00:58,E140101,"""No habia cambios del 2020 al 2019 """
32-81-38-30,,@@Completed,1,18/11/2020,23:06:21,E140101,"""no conocia sobre las normas  """
62-26-83-91,,@@Completed,1,18/11/2020,23:20:07,E140101,"""no conocia de las normas  """
18-99-05-74,,@@Completed,1,06/11/2020,22:57:46,E050410,Ubicacion 28°61'29.0''N 100°32'34.9''W
76-26-19-30,,@@Completed,1,13/11/2020,03:08:41,E050410,"""28°42'24.9''N, 100°32'00.6''W """
10-67-95-74,,@@Completed,1,18/11/2020,01:03:36,E130101,Se capturo nuevamente
28-11-84-29,,@@Completed,1,18/11/2020,01:18:02,E130101,Entrevista nuevamente capturada
18-58-26-99,,coordenada,1,30/11/2020,16:25:35,E010108,"17.7411921727831,"
18-58-26-99,,coordenada,2,30/11/2020,16:26:11,E010108,-91.77187076
18-58-26-99,,municipio,3,30/11/2020,16:30:32,E010108,este campo venia vacio
18-58-26-99,,hora_inicial,4,30/11/2020,16:32:03,E010108,06/11/2020 09:18
18-58-26-99,,consumo,5,30/11/2020,16:34:37,E010108,este campo no venia en la cap. pantalla
18-58-26-99,,banco_ali,6,30/11/2020,16:36:02,E010108,estos campos no venian en las capturas
18-58-26-99,lista_productos,perdida_prod,7,30/11/2020,16:39:12,E010108,no venia en la captura
18-58-26-99,lista_productos,perdida_prod,8,30/11/2020,16:41:09,E010108,no venia en la captura
18-58-26-99,lista_productos,cant_perdidas,9,30/11/2020,16:41:53,E010108,no venia en la captura
18-58-26-99,lista_productos,no_comestible,10,30/11/2020,16:42:31,E010108,ni venia en la captura
18-58-26-99,visitas,termino_visita,11,30/11/2020,16:45:10,E010108,06/11/2020 09:28
18-58-26-99,,municipio,12,30/11/2020,16:47:12,E010108,ignorar el comentario anterior
18-58-26-99,,consumo,13,30/11/2020,16:48:23,E010108,ignorar el comentario anterior
18-58-26-99,lista_productos,perdida_prod,14,30/11/2020,16:50:31,E010108,ignorar el comentario anterior
18-58-26-99,lista_productos,perdida_prod,15,30/11/2020,16:51:44,E010108,ignorar el comentario anterior
20-35-84-30,,coordenada,1,30/11/2020,17:03:44,E010108,"17.7417234, -91.7706136(42.5)11.100000381469"
20-35-84-30,,hora_inicial,2,30/11/2020,17:05:36,E010108,06/11/2020 09:40
20-35-84-30,,banco_ali,3,30/11/2020,17:07:35,E010108,no venia la captura
20-35-84-30,lista_productos,perdida_prod,4,30/11/2020,17:11:39,E010108,no venia en la captura
